분기,구분,시도별,계약금액(억원)
2018/03,지방,경북,22428
2018/03,지방,경남,15303
2018/03,지방,제주,7118
2018/04,전국,전국,581991
2018/04,수도권,서울,68441
2018/04,수도권,인천,36412
2018/04,수도권,경기,190572
2018/04,지방,부산,21890
2018/04,지방,대구,23491
2018/04,지방,광주,16255
2018/04,지방,대전,12625
2018/04,지방,울산,18309
2018/04,지방,세종,11004
2018/04,지방,강원,27942
2018/04,지방,충북,19876
2018/04,지방,충남,23418
2018/04,지방,전북,16750
2018/04,지방,전남,31876
2018/04,지방,경북,25578
2018/04,지방,경남,26062
2018/04,지방,제주,11490
2019/01,전국,전국,576278
2019/01,수도권,서울,93969
2019/01,수도권,인천,39228
2019/01,수도권,경기,170548
2019/01,지방,부산,19046
2019/01,지방,대구,16412
2019/01,지방,광주,6444
2019/01,지방,대전,13397
2019/01,지방,울산,10939
2019/01,지방,세종,3859
2019/01,지방,강원,21509
2019/01,지방,충북,22079
2019/01,지방,충남,32487
2019/01,지방,전북,21120
2019/01,지방,전남,37668
2019/01,지방,경북,27778
2019/01,지방,경남,29416
2019/01,지방,제주,10379
2019/02,전국,전국,563325
2019/02,수도권,서울,57542
2019/02,수도권,인천,45573
2019/02,수도권,경기,169920
2019/02,지방,부산,26050
2019/02,지방,대구,21984
2019/02,지방,광주,16621
2019/02,지방,대전,9613
2019/02,지방,울산,13083
2019/02,지방,세종,6896
2019/02,지방,강원,24300
2019/02,지방,충북,26972
2019/02,지방,충남,27565
2019/02,지방,전북,17618
2019/02,지방,전남,41917
2019/02,지방,경북,26888
2019/02,지방,경남,22588
2019/02,지방,제주,8195
2019/03,전국,전국,469399
2019/03,수도권,서울,79646
2019/03,수도권,인천,36144
2019/03,수도권,경기,144596
2019/03,지방,부산,17603
2019/03,지방,대구,14082
2019/03,지방,광주,10016
2019/03,지방,대전,9245
2019/03,지방,울산,11522
2019/03,지방,세종,3755
2019/03,지방,강원,16429
2019/03,지방,충북,16735
2019/03,지방,충남,26810
2019/03,지방,전북,11780
2019/03,지방,전남,23077
2019/03,지방,경북,17698
2019/03,지방,경남,20999
2019/03,지방,제주,9262
2019/04,전국,전국,693755
2019/04,수도권,서울,73149.5
2019/04,수도권,인천,88981.6
2019/04,수도권,경기,186383.3
2019/04,지방,부산,30905.4
2019/04,지방,대구,29750.6
2019/04,지방,광주,17541.8
2019/04,지방,대전,13082.8
2019/04,지방,울산,15209.7
2019/04,지방,세종,6436.6
2019/04,지방,강원,19072.8
2019/04,지방,충북,21840.4
2019/04,지방,충남,64532.9
2019/04,지방,전북,18949.1
2019/04,지방,전남,40836.5
2019/04,지방,경북,26652.3
2019/04,지방,경남,32016.5
2019/04,지방,제주,8413.1
2020/01,전국,전국,572291.2
2020/01,수도권,서울,62391.5
2020/01,수도권,인천,28200.1
2020/01,수도권,경기,163753.6
2020/01,지방,부산,24004.3
2020/01,지방,대구,26073.7
2020/01,지방,광주,9995.6
2020/01,지방,대전,18633.8
2020/01,지방,울산,17885.7
2020/01,지방,세종,4517.6
2020/01,지방,강원,19262.4
2020/01,지방,충북,31372.5
2020/01,지방,충남,35249.7
2020/01,지방,전북,22672.1
2020/01,지방,전남,38302.3
2020/01,지방,경북,31993.1
2020/01,지방,경남,31042.9
2020/01,지방,제주,6940.4
2020/02,전국,전국,636567.8
2020/02,수도권,서울,78180.5
2020/02,수도권,인천,44230.6
2020/02,수도권,경기,208323.1
2020/02,지방,부산,22573.1
2020/02,지방,대구,35444.6
2020/02,지방,광주,20615.1
2020/02,지방,대전,14726.4
2020/02,지방,울산,16048
2020/02,지방,세종,5948.2
2020/02,지방,강원,21440.5
2020/02,지방,충북,17836.5
2020/02,지방,충남,32009.8
2020/02,지방,전북,17580.4
2020/02,지방,전남,32777
2020/02,지방,경북,24439.6
2020/02,지방,경남,35060.3
2020/02,지방,제주,9334.1
2020/03,전국,전국,581284.9
2020/03,수도권,서울,74647.3
2020/03,수도권,인천,29691.7
2020/03,수도권,경기,169996.9
2020/03,지방,부산,39304.3
2020/03,지방,대구,21651.7
2020/03,지방,광주,16063
2020/03,지방,대전,13960.7
2020/03,지방,울산,14381.6
2020/03,지방,세종,3662.7
2020/03,지방,강원,26596.4
2020/03,지방,충북,27994.4
2020/03,지방,충남,34769.9
2020/03,지방,전북,16474.8
2020/03,지방,전남,27575.7
2020/03,지방,경북,26061.9
2020/03,지방,경남,32256.7
2020/03,지방,제주,6195.3
2020/04,전국,전국,823683.3
2020/04,수도권,서울,89723.1
2020/04,수도권,인천,84692.7
2020/04,수도권,경기,234505.1
2020/04,지방,부산,26866.7
2020/04,지방,대구,30739.4
2020/04,지방,광주,21625.3
2020/04,지방,대전,20201.3
2020/04,지방,울산,15232.4
2020/04,지방,세종,9144.5
2020/04,지방,강원,29263
2020/04,지방,충북,26742.8
2020/04,지방,충남,59229.4
2020/04,지방,전북,26712
2020/04,지방,전남,49935.8
2020/04,지방,경북,36455.2
2020/04,지방,경남,53301.9
2020/04,지방,제주,9312.7
2021/01,전국,전국,659816.2
2021/01,수도권,서울,70306.2
2021/01,수도권,인천,38201.4
2021/01,수도권,경기,202405.9
2021/01,지방,부산,24316.1
2021/01,지방,대구,19596.7
2021/01,지방,광주,10776.2
2021/01,지방,대전,13066.8
2021/01,지방,울산,14323.4
2021/01,지방,세종,9060.5
2021/01,지방,강원,25957.3
2021/01,지방,충북,35085.6
2021/01,지방,충남,46204.7
2021/01,지방,전북,26917.5
2021/01,지방,전남,36962.5
2021/01,지방,경북,43903.7
2021/01,지방,경남,34662.1
2021/01,지방,제주,8069.6
2021/02,전국,전국,759931.2
2021/02,수도권,서울,96161.3
2021/02,수도권,인천,40593
2021/02,수도권,경기,262848.7
2021/02,지방,부산,26049.6
2021/02,지방,대구,29245.8
2021/02,지방,광주,14696
2021/02,지방,대전,18068.5
2021/02,지방,울산,12538.2
2021/02,지방,세종,13736.4
2021/02,지방,강원,25147.6
2021/02,지방,충북,26172.1
2021/02,지방,충남,40110.7
2021/02,지방,전북,21860.6
2021/02,지방,전남,44600.1
2021/02,지방,경북,33020.8
2021/02,지방,경남,44518
2021/02,지방,제주,10563.9
2021/03,전국,전국,652381.2
2021/03,수도권,서울,64097.6
2021/03,수도권,인천,43352.7
2021/03,수도권,경기,197510.8
2021/03,지방,부산,29477.5
2021/03,지방,대구,26836.1
2021/03,지방,광주,17003.8
2021/03,지방,대전,11066.3
2021/03,지방,울산,18263.6
2021/03,지방,세종,4289.8
2021/03,지방,강원,23659.3
2021/03,지방,충북,26273.1
2021/03,지방,충남,44229.9
2021/03,지방,전북,23274.4
2021/03,지방,전남,39443.6
2021/03,지방,경북,35098.1
2021/03,지방,경남,41265.7
2021/03,지방,제주,7238.9
2021/04,전국,전국,817015
2021/04,수도권,서울,84065.2
2021/04,수도권,인천,71348
2021/04,수도권,경기,253399.7
2021/04,지방,부산,34774.2
2021/04,지방,대구,31946.8
2021/04,지방,광주,20546.4
2021/04,지방,대전,16513.5
2021/04,지방,울산,18512.4
2021/04,지방,세종,11117.8
2021/04,지방,강원,27608.4
2021/04,지방,충북,37217.4
2021/04,지방,충남,43054.2
2021/04,지방,전북,25521.5
2021/04,지방,전남,34641.2
2021/04,지방,경북,49455.3
2021/04,지방,경남,46241.7
2021/04,지방,제주,11051
2022/01,전국,전국,730429.5
2022/01,수도권,서울,72646.2
2022/01,수도권,인천,46178
2022/01,수도권,경기,211873.2
2022/01,지방,부산,33870.1
2022/01,지방,대구,20664.2
2022/01,지방,광주,13669.5
2022/01,지방,대전,13887.8
2022/01,지방,울산,24588.3
2022/01,지방,세종,9390.5
2022/01,지방,강원,19117.4
2022/01,지방,충북,44747.7
2022/01,지방,충남,48947
2022/01,지방,전북,31191
2022/01,지방,전남,40416.6
2022/01,지방,경북,45528.8
2022/01,지방,경남,43329.7
2022/01,지방,제주,10383.4
2022/02,전국,전국,826525.5
2022/02,수도권,서울,104506.3
2022/02,수도권,인천,40584.2
2022/02,수도권,경기,278930.8
2022/02,지방,부산,41890.4
2022/02,지방,대구,19860.7
2022/02,지방,광주,9170.3
2022/02,지방,대전,11927.2
2022/02,지방,울산,24971.2
2022/02,지방,세종,6042.9
2022/02,지방,강원,31608
2022/02,지방,충북,31385.4
2022/02,지방,충남,57888.1
2022/02,지방,전북,26229.4
2022/02,지방,전남,34735.7
2022/02,지방,경북,49916.8
2022/02,지방,경남,44243
2022/02,지방,제주,12635.1
2022/03,전국,전국,743459.9
2022/03,수도권,서울,75238.1
2022/03,수도권,인천,40306.6
2022/03,수도권,경기,232908.4
2022/03,지방,부산,39076.6
2022/03,지방,대구,12268.8
2022/03,지방,광주,12304.7
2022/03,지방,대전,18751.2
2022/03,지방,울산,15949.3
2022/03,지방,세종,6723.1
2022/03,지방,강원,40665.8
2022/03,지방,충북,36332.2
2022/03,지방,충남,58867.2
2022/03,지방,전북,22313.4
2022/03,지방,전남,39477.1
2022/03,지방,경북,46729.8
2022/03,지방,경남,33563.1
2022/03,지방,제주,11984.6
2022/04,전국,전국,667087.3
2022/04,수도권,서울,74137
2022/04,수도권,인천,38098.4
2022/04,수도권,경기,193025
2022/04,지방,부산,34133.6
2022/04,지방,대구,12245.7
2022/04,지방,광주,13835.8
2022/04,지방,대전,12005.2
2022/04,지방,울산,24958.7
2022/04,지방,세종,6169.6
2022/04,지방,강원,26306.2
2022/04,지방,충북,33899
2022/04,지방,충남,49088.4
2022/04,지방,전북,21860.8
2022/04,지방,전남,33150.8
2022/04,지방,경북,34616
2022/04,지방,경남,47546.9
2022/04,지방,제주,12010
2023/01,전국,전국,684348.9
2023/01,수도권,서울,50818.4
2023/01,수도권,인천,18651.5
2023/01,수도권,경기,194765.8
2023/01,지방,부산,36146.7
2023/01,지방,대구,9758.5
2023/01,지방,광주,28796.2
2023/01,지방,대전,10018
2023/01,지방,울산,106920.2
2023/01,지방,세종,6603.1
2023/01,지방,강원,22227.4
2023/01,지방,충북,20819.4
2023/01,지방,충남,39640.4
2023/01,지방,전북,27644.9
2023/01,지방,전남,37001.2
2023/01,지방,경북,35956.9
2023/01,지방,경남,31075.7
2023/01,지방,제주,7504.6
2023/02,전국,전국,547192.3
2023/02,수도권,서울,59514.8
2023/02,수도권,인천,27429.2
2023/02,수도권,경기,160151.2
2023/02,지방,부산,23165.6
2023/02,지방,대구,11918.5
2023/02,지방,광주,10849.3
2023/02,지방,대전,10740.9
2023/02,지방,울산,22418.7
2023/02,지방,세종,4875
